City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
71,Sao Filipe,CV,75.7,Clear,14.8961,-24.4956,Hotel Xaguate
72,Los Arabos,CU,88.12,Clouds,22.7281,-80.7214,Motel Los Pinos
75,Ippy,CF,78.91,Clouds,6.2679,21.2247,
83,Hithadhoo,MV,82.74,Clouds,-0.6,73.0833,Scoop Guest House
85,Ngama,TD,86.94,Rain,11.7833,17.1667,
89,Domoni,KM,77.86,Clouds,-12.2569,44.5319,Al Djadid
91,Mazamari,PE,87.4,Clouds,-11.3258,-74.5308,Hospedaje Ratto
92,Faanui,PF,81.54,Clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
93,Sola,VU,80.28,Rain,-13.8833,167.55,Leumerus Bungalows
100,Hobyo,SO,81.9,Clouds,5.3505,48.5268,Iftin hotel hobyo
102,Bethel,US,82.18,Clouds,41.3712,-73.414,Courtyard by Marriott Danbury
104,Kahului,US,82.42,Clouds,20.8947,-156.47,Maui Seaside Hotel
107,Kavaratti,IN,84.56,Rain,10.5669,72.642,Hotels in Lakshadweep Islands
114,Victoria,HK,77.95,Rain,22.2855,114.1577,Mini Central
120,Butaritari,KI,80.4,Clouds,3.0707,172.7902,Isles Sunset Lodge
123,Erie,US,85.01,Clouds,42.7667,-78.6664,Roycroft Inn
124,Alofi,NU,75.09,Clouds,-19.0595,-169.9187,Taloa Heights
127,Pangai,TO,75.31,Clouds,-19.8,-174.35,Ha'apai Beach Resort
135,Dzaoudzi,YT,80.49,Clear,-12.7887,45.2699,Le Rocher
139,Madang,PG,76.06,Clouds,-5.2246,145.7966,Comfort Inn Hotel
142,Porto Novo,BJ,85.82,Clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
144,Mindelo,CV,78.35,Clear,16.8901,-24.9804,Hotel Gaudi
152,Bengkulu,ID,77.7,Clouds,-3.8004,102.2655,Grage Hotel Bengkulu
154,Cayenne,GF,84.24,Clouds,4.9333,-52.3333,Hôtel Le Dronmi
155,North Branch,US,75.18,Clouds,45.5113,-92.9802,AmericInn by Wyndham North Branch
158,Batticaloa,LK,82.76,Clouds,7.7102,81.6924,Grand Star Guest House
172,Goderich,CA,75.52,Clear,43.7501,-81.7165,Harmony Inn
176,Touros,BR,81.86,Rain,-5.1989,-35.4608,INN NEW HORIZON
179,Sabang,ID,83.37,Clouds,5.8933,95.3214,Hotel Citra
182,Bandrele,YT,80.35,Clear,-12.9067,45.1914,Les Baobabs
190,San Joaquin,US,77.85,Clear,37.9333,-121.3011,University Plaza Waterfront Hotel
191,Gigmoto,PH,80.62,Clouds,13.7796,124.39,Cj's Travellers Inn
193,Karimpur,IN,82.62,Clouds,23.9667,88.6167,gabrudanga jumma masjid
198,Half Moon Bay,US,77.54,Clear,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
201,Conceicao Da Barra,BR,78.24,Clouds,-18.5933,-39.7322,Cricaré Praia Hotel
202,Waingapu,ID,76.93,Clouds,-9.6567,120.2641,Pondok Wisata Elim
207,The Valley,AI,82.54,Clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
210,Bosaso,SO,89.78,Clouds,11.2842,49.1816,Red Sea Hotel
211,Itarema,BR,78.48,Rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
222,Niquero,CU,83.8,Clouds,20.0431,-77.5828,Islazul Niquero
223,Colimes,EC,81.0,Clouds,-1.55,-80.0167,"Casa de Retiro ""JESÚS DE LA DIVINA MISERICORDIA"""
224,Dicabisagan,PH,79.9,Clouds,17.0818,122.4157,Nancy Montanes Bernardo
225,Caravelas,BR,79.02,Clear,-17.7125,-39.2481,Pousada dos Navegantes
