WeatherPy_Database,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
140,Tateyama,34.9833,139.8667,70.11,88,75,14.97,Clouds,JP,2022-05-13 19:18:34
141,Khromtau,50.2503,58.4347,52.57,88,100,20.71,Rain,KZ,2022-05-13 19:18:35
142,Porto Novo,6.4965,2.6036,85.82,81,92,8.48,Clouds,BJ,2022-05-13 19:18:35
143,Birin,26.8865,88.0718,62.78,90,97,4.14,Clouds,NP,2022-05-13 19:18:35
144,Mindelo,16.8901,-24.9804,78.35,53,0,32.21,Clear,CV,2022-05-13 19:18:36
145,Faya,18.3851,42.4509,73.92,19,2,13.98,Clear,SA,2022-05-13 19:18:36
146,Kodiak,57.79,-152.4072,49.51,37,0,23.02,Clear,US,2022-05-13 19:18:36
147,Chuy,-33.6971,-53.4616,64.17,56,89,6.13,Clouds,UY,2022-05-13 19:18:37
148,Atar,20.5169,-13.0499,103.12,9,14,11.05,Clouds,MR,2022-05-13 19:18:37
149,Bereda,43.2686,-7.5406,63.41,82,75,4.74,Clouds,ES,2022-05-13 19:18:37
150,Constitucion,-35.3333,-72.4167,60.55,58,85,13.2,Clouds,CL,2022-05-13 19:18:38
151,East London,-33.0153,27.9116,62.94,76,50,7.72,Clouds,ZA,2022-05-13 19:18:38
152,Bengkulu,-3.8004,102.2655,77.7,88,29,3.8,Clouds,ID,2022-05-13 19:18:38
153,Plettenberg Bay,-34.0527,23.3716,60.58,75,100,9.44,Clouds,ZA,2022-05-13 19:18:39
154,Cayenne,4.9333,-52.3333,84.24,9,75,12.66,Clouds,GF,2022-05-13 19:18:39
155,North Branch,45.5113,-92.9802,75.18,51,100,11.99,Clouds,US,2022-05-13 19:18:02
156,Bambous Virieux,-20.3428,57.7575,73.65,73,40,4.61,Clouds,MU,2022-05-13 19:17:23
157,Severo-Kurilsk,50.6789,156.125,38.59,97,100,14.83,Clouds,RU,2022-05-13 19:18:40
158,Batticaloa,7.7102,81.6924,82.76,71,100,6.29,Clouds,LK,2022-05-13 19:18:40
159,Tecoanapa,16.5167,-98.75,90.39,52,100,13.11,Clouds,MX,2022-05-13 19:18:40
160,Uray,60.1247,64.7758,56.86,52,100,11.63,Clouds,RU,2022-05-13 19:18:41
161,Imbituba,-28.24,-48.6703,69.85,80,50,3.51,Clouds,BR,2022-05-13 19:18:41
162,Fukue,32.6881,128.8419,65.43,77,100,19.13,Rain,JP,2022-05-13 19:13:51
163,Comodoro Rivadavia,-45.8667,-67.5,57.06,41,20,18.41,Clouds,AR,2022-05-13 19:18:41
164,Provideniya,64.3833,-173.3,36.57,58,1,4.25,Clear,RU,2022-05-13 19:18:42
165,Namibe,-15.1961,12.1522,72.64,77,0,3.18,Clear,AO,2022-05-13 19:18:42
166,Nome,64.5011,-165.4064,32.16,55,0,8.05,Clear,US,2022-05-13 19:17:10
167,Kaffrine,14.1059,-15.5508,96.67,23,94,11.18,Clouds,SN,2022-05-13 19:18:42
168,Lonar,19.9833,76.5333,90.91,34,7,8.3,Clear,IN,2022-05-13 19:18:43
169,Coihaique,-45.5752,-72.0662,43.41,82,96,9.06,Clouds,CL,2022-05-13 19:14:43
170,Lishu,43.3047,124.3278,41.29,80,28,10.71,Clouds,CN,2022-05-13 19:18:43
171,Lebu,-37.6167,-73.65,54.23,62,30,17.29,Clouds,CL,2022-05-13 19:18:43
